"Date","Month","Year","Site.Name","COUNTY","meanLAT","meanLONG","Ozone","PM2.5"
2018-01-25,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,25
2018-01-26,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,52
2018-01-26,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,6
2018-01-26,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,58
2018-01-26,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,46
2018-01-26,1,2018,"Frying Pan Mountain","Haywood",35.379167,-82.7925,NA,8
2018-01-26,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,34,46
2018-01-26,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,57.6666666666667
2018-01-26,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,16
2018-01-26,1,2018,"Linville Falls","Avery",35.972347,-81.933072,NA,18
2018-01-26,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,56
2018-01-26,1,2018,"Millbrook School","Wake",35.856111,-78.574167,28,47.5
2018-01-26,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,21
2018-01-26,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,35
2018-01-27,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,58
2018-01-27,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,3
2018-01-27,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,61
2018-01-27,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,42
2018-01-27,1,2018,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,31,49
2018-01-27,1,2018,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,NA,76
2018-01-27,1,2018,"Leggett","Edgecombe",35.988278,-77.5843,NA,18
2018-01-27,1,2018,"Mendenhall School","Guilford",36.1090060008986,-79.802314,NA,55
2018-01-27,1,2018,"Millbrook School","Wake",35.856111,-78.574167,37,37
2018-01-27,1,2018,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,NA,26
2018-01-27,1,2018,"West Johnston Co.","Johnston",35.59095,-78.4622,NA,27
2018-01-28,1,2018,"Bryson City","Swain",35.434767,-83.442133,NA,28
2018-01-28,1,2018,"Castle Hayne","New Hanover",34.364167,-77.838611,NA,0
2018-01-28,1,2018,"Clemmons Middle","Forsyth",36.026,-80.342,NA,56
2018-01-28,1,2018,"Durham Armory","Durham",36.0329550008979,-78.904037,NA,25
